,Unnamed: 0,name,date,platform,score,url,userscore,fullurl,developer,genre,no_userreviews
1744,1744,ZHEROS,"January 15, 2016",Xbox One,57,/game/xbox-one/zheros,4.4,https://www.metacritic.com/game/xbox-one/zheros,Rimlight Studios,"['Action', ""Beat-'Em-Up"", '3D']",37
1745,1745,Aegis of Earth: Protonovus Assault,"March 15, 2016",PlayStation 4,57,/game/playstation-4/aegis-of-earth-protonovus-assault,6.4,https://www.metacritic.com/game/playstation-4/aegis-of-earth-protonovus-assault,Acquire,"['Strategy', 'Real-Time', 'Defense']",11
1746,1746,Soul Axiom,"February 29, 2016",PC,57,/game/pc/soul-axiom,6.1,https://www.metacritic.com/game/pc/soul-axiom,Wales Interactive Ltd.,"['Sci-Fi', 'Adventure', '3D', 'First-Person']",10
1747,1747,Catlateral Damage,"March 22, 2016",PlayStation 4,57,/game/playstation-4/catlateral-damage,5.1,https://www.metacritic.com/game/playstation-4/catlateral-damage,Manekoware,"['Action', 'Platformer', '3D']",15
1748,1748,Trials of the Blood Dragon,"June 13, 2016",Xbox One,57,/game/xbox-one/trials-of-the-blood-dragon,5.6,https://www.metacritic.com/game/xbox-one/trials-of-the-blood-dragon,RedLynx,"['Action', 'Platformer', '2D']",22
1749,1749,MeiQ: Labyrinth of Death,"September 13, 2016",PlayStation Vita,56,/game/playstation-vita/meiq-labyrinth-of-death,7.4,https://www.metacritic.com/game/playstation-vita/meiq-labyrinth-of-death,Compile Heart,"['General', 'Role-Playing', 'Japanese-Style']",8
1750,1750,The Technomancer,"June 28, 2016",PC,56,/game/pc/the-technomancer,6.6,https://www.metacritic.com/game/pc/the-technomancer,"Spidersoft, Spiders","['Role-Playing', 'General', 'Western-Style']",185
1751,1751,Q*bert: Rebooted: The XBOX One @!#?@! Edition,"February 12, 2016",Xbox One,56,/game/xbox-one/qbert-rebooted-the-xbox-one-!!-edition,6.1,https://www.metacritic.com/game/xbox-one/qbert-rebooted-the-xbox-one-!!-edition,GPC Games,"['Action', 'Arcade']",7
1752,1752,Lethal VR,"December 20, 2016",PlayStation 4,56,/game/playstation-4/lethal-vr,4.9,https://www.metacritic.com/game/playstation-4/lethal-vr,"Team17, Three Fields Entertainment","['Action', 'Shooter', 'First-Person', 'Light Gun', 'Arcade']",10
1753,1753,Dangerous Golf,"June 3, 2016",PlayStation 4,56,/game/playstation-4/dangerous-golf,4.9,https://www.metacritic.com/game/playstation-4/dangerous-golf,Three Fields Entertainment,"['Sports', 'Individual', 'Golf', 'Arcade']",25
1754,1754,ADR1FT,"July 15, 2016",PlayStation 4,56,/game/playstation-4/adr1ft,4.8,https://www.metacritic.com/game/playstation-4/adr1ft,Three One Zero,"['Action', 'Action Adventure', 'General', 'Survival']",34
1755,1755,Hardware: Rivals,"January 5, 2016",PlayStation 4,56,/game/playstation-4/hardware-rivals,5.2,https://www.metacritic.com/game/playstation-4/hardware-rivals,SCEA,"['Simulation', 'Vehicle', 'Combat']",87
1756,1756,Verdun,"August 30, 2016",PlayStation 4,56,/game/playstation-4/verdun,7.1,https://www.metacritic.com/game/playstation-4/verdun,"Abstraction Games, Blackmill Games","['Action', 'Shooter', 'First-Person', 'Tactical', 'Arcade']",42
1757,1757,Shattered Skies,"July 21, 2016",PC,56,/game/pc/shattered-skies,5.2,https://www.metacritic.com/game/pc/shattered-skies,Free Reign Entertainment,"['Action', 'Shooter', 'First-Person', 'Arcade']",13
1758,1758,Syndrome,"October 6, 2016",PC,56,/game/pc/syndrome,5.6,https://www.metacritic.com/game/pc/syndrome,Camel 101,"['Action', 'Action Adventure', 'General', 'Survival']",17
1759,1759,Table Top Racing: World Tour,"May 3, 2016",PlayStation 4,55,/game/playstation-4/table-top-racing-world-tour,6.3,https://www.metacritic.com/game/playstation-4/table-top-racing-world-tour,"Playrise Digital, Playrise Edge Ltd.","['Racing', 'Arcade', 'Automobile']",120
1760,1760,SportsBarVR,"October 18, 2016",PlayStation 4,55,/game/playstation-4/sportsbarvr,6.0,https://www.metacritic.com/game/playstation-4/sportsbarvr,"Cherry Pop Games, Perilous Orbit","['Sports', 'General']",20
1761,1761,The Assembly,"July 19, 2016",PC,55,/game/pc/the-assembly,5.4,https://www.metacritic.com/game/pc/the-assembly,nDreams,"['Miscellaneous', 'General']",10
1762,1762,Touhou Genso Rondo: Bullet Ballet,"September 6, 2016",PlayStation 4,55,/game/playstation-4/touhou-genso-rondo-bullet-ballet,5.3,https://www.metacritic.com/game/playstation-4/touhou-genso-rondo-bullet-ballet,"Mediascape, CUBETYPE","['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",37
1763,1763,Bohemian Killing,"July 21, 2016",PC,55,/game/pc/bohemian-killing,5.9,https://www.metacritic.com/game/pc/bohemian-killing,The Moonwalls,"['Adventure', 'Visual Novel']",14
1764,1764,Trials of the Blood Dragon,"June 13, 2016",PlayStation 4,55,/game/playstation-4/trials-of-the-blood-dragon,6.3,https://www.metacritic.com/game/playstation-4/trials-of-the-blood-dragon,RedLynx,"['Action', 'Platformer', '2D']",26
1765,1765,Mighty No. 9,"June 21, 2016",Xbox One,55,/game/xbox-one/mighty-no-9,4.2,https://www.metacritic.com/game/xbox-one/mighty-no-9,Inti Creates,"['Platformer', '2D', 'Action', 'Platformer', '2D']",108
1766,1766,The Park,"May 3, 2016",PlayStation 4,55,/game/playstation-4/the-park,5.2,https://www.metacritic.com/game/playstation-4/the-park,Funcom,"['Action Adventure', 'Survival']",21
1767,1767,Teenage Mutant Ninja Turtles: Mutants in Manhattan,"May 24, 2016",Xbox One,55,/game/xbox-one/teenage-mutant-ninja-turtles-mutants-in-manhattan,5.9,https://www.metacritic.com/game/xbox-one/teenage-mutant-ninja-turtles-mutants-in-manhattan,PlatinumGames,"['Action', ""Beat-'Em-Up"", '3D']",44
1768,1768,A.W.: Phoenix Festa,"July 26, 2016",PlayStation Vita,55,/game/playstation-vita/aw-phoenix-festa,4.5,https://www.metacritic.com/game/playstation-vita/aw-phoenix-festa,Bandai Namco Games,"['Role-Playing', 'Action RPG']",10
1769,1769,Homefront: The Revolution,"May 17, 2016",PC,54,/game/pc/homefront-the-revolution,4.0,https://www.metacritic.com/game/pc/homefront-the-revolution,Deep Silver Dambuster Studios,"['Shooter', 'Modern', 'Modern', 'Action', 'Shooter', 'First-Person', 'Arcade']",367
1770,1770,POSTAL Redux,"May 20, 2016",PC,54,/game/pc/postal-redux,6.7,https://www.metacritic.com/game/pc/postal-redux,Running With Scissors,"['Action', 'General']",39
1771,1771,Soul Axiom,"June 8, 2016",Xbox One,54,/game/xbox-one/soul-axiom,tbd,https://www.metacritic.com/game/xbox-one/soul-axiom,No Data,No Data,No Data
1772,1772,Gemini: Heroes Reborn,"January 18, 2016",PC,54,/game/pc/gemini-heroes-reborn,5.6,https://www.metacritic.com/game/pc/gemini-heroes-reborn,"Phosphor Games Studio, LLC, Phosphor Games","['Action Adventure', 'Linear']",21
1773,1773,The Tomorrow Children,"September 6, 2016",PlayStation 4,54,/game/playstation-4/the-tomorrow-children,5.8,https://www.metacritic.com/game/playstation-4/the-tomorrow-children,Q-Games,"['Sci-Fi', 'Strategy', 'Real-Time', 'General']",85
1774,1774,Sadame,"February 25, 2016",3DS,54,/game/3ds/sadame,6.2,https://www.metacritic.com/game/3ds/sadame,"Mebius, Intergrow","['Role-Playing', 'Action RPG']",11
1775,1775,Breached,"June 22, 2016",PC,54,/game/pc/breached,7.0,https://www.metacritic.com/game/pc/breached,Drama Drifters,"['Adventure', '3D', 'First-Person']",4
1776,1776,E.T. Armies,"March 3, 2016",PC,54,/game/pc/et-armies,7.0,https://www.metacritic.com/game/pc/et-armies,Raspina Studio,"['Action', 'Shooter', 'First-Person', 'Arcade']",39
1777,1777,Dangerous Golf,"June 2, 2016",PC,54,/game/pc/dangerous-golf,3.2,https://www.metacritic.com/game/pc/dangerous-golf,Three Fields Entertainment,"['Sports', 'Individual', 'Golf', 'Arcade']",28
1778,1778,Trials of the Blood Dragon,"June 13, 2016",PC,54,/game/pc/trials-of-the-blood-dragon,6.7,https://www.metacritic.com/game/pc/trials-of-the-blood-dragon,RedLynx,"['Action', 'Platformer', '2D']",18
1779,1779,Assassin's Creed Chronicles: Russia,"February 9, 2016",PC,53,/game/pc/assassins-creed-chronicles-russia,5.3,https://www.metacritic.com/game/pc/assassins-creed-chronicles-russia,"Climax Group, Climax Studios","['Action Adventure', 'Linear']",67
1780,1780,Active Soccer 2 DX,"March 30, 2016",Xbox One,53,/game/xbox-one/active-soccer-2-dx,6.9,https://www.metacritic.com/game/xbox-one/active-soccer-2-dx,The Fox Software,"['Action', 'Sports', 'General', 'Team', 'Soccer', 'Arcade']",14
1781,1781,Planar Conquest,"May 30, 2016",PC,53,/game/pc/planar-conquest,6.4,https://www.metacritic.com/game/pc/planar-conquest,Wastelands Interactive,"['Strategy', 'Turn-Based', '4X']",23
1782,1782,Phantaruk,"August 16, 2016",PC,53,/game/pc/phantaruk,7.6,https://www.metacritic.com/game/pc/phantaruk,Polyslash,"['Action Adventure', 'Survival']",13
1783,1783,Solar Shifter EX,"August 26, 2016",Xbox One,53,/game/xbox-one/solar-shifter-ex,tbd,https://www.metacritic.com/game/xbox-one/solar-shifter-ex,No Data,No Data,No Data
1784,1784,Shadwen,"May 17, 2016",PC,53,/game/pc/shadwen,6.1,https://www.metacritic.com/game/pc/shadwen,"Frozenbyte, Inc.","['Action Adventure', 'General']",39
1785,1785,#KILLALLZOMBIES,"August 10, 2016",Xbox One,53,/game/xbox-one/killallzombies,tbd,https://www.metacritic.com/game/xbox-one/killallzombies,No Data,No Data,No Data
1786,1786,Adam's Venture: Origins,"April 1, 2016",PlayStation 4,53,/game/playstation-4/adams-venture-origins,5.6,https://www.metacritic.com/game/playstation-4/adams-venture-origins,Vertigo Games,"['Adventure', 'Point-and-Click']",30
1787,1787,The Assembly,"October 13, 2016",PlayStation 4,53,/game/playstation-4/the-assembly,5.5,https://www.metacritic.com/game/playstation-4/the-assembly,nDreams,"['Miscellaneous', 'General']",10
1788,1788,Loading Human: Chapter 1,"October 13, 2016",PlayStation 4,53,/game/playstation-4/loading-human-chapter-1,6.5,https://www.metacritic.com/game/playstation-4/loading-human-chapter-1,Untold Games,"['Adventure', '3D', 'First-Person']",28
1789,1789,Kill Strain,"July 12, 2016",PlayStation 4,53,/game/playstation-4/kill-strain,7.2,https://www.metacritic.com/game/playstation-4/kill-strain,SCEA San Diego Studios,"['Action', 'General']",31
1790,1790,Super Dungeon Bros,"November 1, 2016",Xbox One,53,/game/xbox-one/super-dungeon-bros,2.2,https://www.metacritic.com/game/xbox-one/super-dungeon-bros,React Games,"['Action', 'General']",17
1791,1791,Pixel Piracy,"February 16, 2016",Xbox One,53,/game/xbox-one/pixel-piracy,3.1,https://www.metacritic.com/game/xbox-one/pixel-piracy,Abstraction Games,"['Strategy', 'Real-Time', 'General']",8
1792,1792,Back in 1995,"April 28, 2016",PC,52,/game/pc/back-in-1995,5.9,https://www.metacritic.com/game/pc/back-in-1995,Throw the Warped Code Out,"['Action Adventure', 'General', 'Survival']",7
1793,1793,Anima: Gate of Memories,"June 7, 2016",PlayStation 4,52,/game/playstation-4/anima-gate-of-memories,7.2,https://www.metacritic.com/game/playstation-4/anima-gate-of-memories,"Edge Entertainment, Anima Project","['Role-Playing', 'Action RPG']",49
1794,1794,"Warhammer 40,000: Eternal Crusade","September 23, 2016",PC,52,/game/pc/warhammer-40000-eternal-crusade,4.7,https://www.metacritic.com/game/pc/warhammer-40000-eternal-crusade,"Behaviour Interactive Inc., Behaviour Interactive","['Role-Playing', 'Massively Multiplayer']",55
1795,1795,Mighty No. 9,"June 21, 2016",PlayStation 4,52,/game/playstation-4/mighty-no-9,3.6,https://www.metacritic.com/game/playstation-4/mighty-no-9,Inti Creates,"['Platformer', '2D', 'Action', 'Platformer', '2D']",358
1796,1796,Mighty No. 9,"June 21, 2016",PC,52,/game/pc/mighty-no-9,3.6,https://www.metacritic.com/game/pc/mighty-no-9,Inti Creates,"['Platformer', '2D', 'Action', 'Platformer', '2D']",184
1797,1797,Carmageddon: Max Damage,"July 5, 2016",Xbox One,52,/game/xbox-one/carmageddon-max-damage,7.2,https://www.metacritic.com/game/xbox-one/carmageddon-max-damage,Stainless Games,"['Racing', 'Arcade', 'Automobile']",23
1798,1798,Pixel Gear,"October 20, 2016",PlayStation 4,51,/game/playstation-4/pixel-gear,4.8,https://www.metacritic.com/game/playstation-4/pixel-gear,Geronimo Interactive,"['Action', 'Shooter', 'First-Person', 'Arcade']",23
1799,1799,Dinocide,"January 21, 2016",PC,51,/game/pc/dinocide,6.7,https://www.metacritic.com/game/pc/dinocide,AtomicTorch,"['Action', 'Platformer', '2D']",10
1800,1800,Koi,"April 19, 2016",PlayStation 4,51,/game/playstation-4/koi,5.7,https://www.metacritic.com/game/playstation-4/koi,Oasis Games,"['Action Adventure', 'General']",17
1801,1801,Carmageddon: Max Damage,"July 5, 2016",PlayStation 4,51,/game/playstation-4/carmageddon-max-damage,5.7,https://www.metacritic.com/game/playstation-4/carmageddon-max-damage,Stainless Games,"['Racing', 'Arcade', 'Automobile']",60
1802,1802,Shadwen,"May 17, 2016",PlayStation 4,51,/game/playstation-4/shadwen,5.9,https://www.metacritic.com/game/playstation-4/shadwen,"Frozenbyte, Inc.","['Action Adventure', 'General']",17
1803,1803,Party Hard,"April 26, 2016",Xbox One,51,/game/xbox-one/party-hard,6.9,https://www.metacritic.com/game/xbox-one/party-hard,Pinokl Games,"['Action', 'General']",11
1804,1804,Shiny,"August 31, 2016",PC,51,/game/pc/shiny,5.0,https://www.metacritic.com/game/pc/shiny,Garage 227,"['Action', 'Platformer', '2D']",4
1805,1805,Mark McMorris Infinite Air,"October 25, 2016",PlayStation 4,50,/game/playstation-4/mark-mcmorris-infinite-air,7.2,https://www.metacritic.com/game/playstation-4/mark-mcmorris-infinite-air,HB Studios Multimedia,"['Sports', 'Individual', 'Ski / Snowboard']",59
1806,1806,Death by Game Show,"January 22, 2016",PC,50,/game/pc/death-by-game-show,tbd,https://www.metacritic.com/game/pc/death-by-game-show,No Data,No Data,No Data
1807,1807,Armikrog,"August 23, 2016",PlayStation 4,50,/game/playstation-4/armikrog,6.1,https://www.metacritic.com/game/playstation-4/armikrog,Pencil Test Studios,"['Adventure', 'Point-and-Click']",16
1808,1808,Pixel Piracy,"February 16, 2016",PlayStation 4,50,/game/playstation-4/pixel-piracy,2.4,https://www.metacritic.com/game/playstation-4/pixel-piracy,Abstraction Games,"['Strategy', 'Real-Time', 'General']",7
1809,1809,Homefront: The Revolution,"May 17, 2016",Xbox One,49,/game/xbox-one/homefront-the-revolution,4.4,https://www.metacritic.com/game/xbox-one/homefront-the-revolution,Deep Silver Dambuster Studios,"['Modern', 'Action', 'Shooter', 'First-Person', 'Arcade']",138
1810,1810,MagNets: Fully Charged,"March 11, 2016",Xbox One,49,/game/xbox-one/magnets-fully-charged,4.1,https://www.metacritic.com/game/xbox-one/magnets-fully-charged,Total Monkery,"['Action', 'General']",7
1811,1811,Homefront: The Revolution,"May 17, 2016",PlayStation 4,48,/game/playstation-4/homefront-the-revolution,4.1,https://www.metacritic.com/game/playstation-4/homefront-the-revolution,Deep Silver Dambuster Studios,"['Modern', 'Action', 'Shooter', 'First-Person', 'Arcade']",278
1812,1812,Mighty No. 9,"June 21, 2016",Wii U,48,/game/wii-u/mighty-no-9,4.4,https://www.metacritic.com/game/wii-u/mighty-no-9,Inti Creates,"['Platformer', '2D', 'Action', 'Platformer', '2D']",102
1813,1813,Paranautical Activity,"April 29, 2016",Xbox One,48,/game/xbox-one/paranautical-activity,3.8,https://www.metacritic.com/game/xbox-one/paranautical-activity,Code Avarice,"['Action', 'General', 'Shooter', 'First-Person', 'Arcade']",8
