,name,date,platform,score,url,userscore
5384,Immortal Realms: Vampire Wars,"August 28, 2020",PC,71,/game/pc/immortal-realms-vampire-wars,6.3
5385,Rocket Arena,"July 14, 2020",Xbox One,71,/game/xbox-one/rocket-arena,8.0
5386,Through the Darkest of Times,"January 30, 2020",PC,71,/game/pc/through-the-darkest-of-times,6.7
5387,The Inner Friend,"April 28, 2020",Xbox One,71,/game/xbox-one/the-inner-friend,tbd
5388,Surgeon Simulator 2,"August 27, 2020",PC,71,/game/pc/surgeon-simulator-2,6.7
5389,3000th Duel,"February 19, 2020",Switch,71,/game/switch/3000th-duel,8.3
5390,Kingdoms of Amalur: Re-Reckoning,"September 8, 2020",PC,70,/game/pc/kingdoms-of-amalur-re-reckoning,6.1
5391,Maneater,"May 22, 2020",PC,70,/game/pc/maneater,6.6
5392,Ion Fury,"May 14, 2020",Xbox One,70,/game/xbox-one/ion-fury,7.0
5393,Zombie Army Trilogy,"March 31, 2020",Switch,70,/game/switch/zombie-army-trilogy,6.7
5394,Minecraft Dungeons,"May 26, 2020",PC,70,/game/pc/minecraft-dungeons,6.4
5395,Saints Row: The Third Remastered,"May 22, 2020",PC,70,/game/pc/saints-row-the-third-remastered,6.9
5396,Marvel's Avengers,"September 4, 2020",PC,70,/game/pc/marvels-avengers,3.3
5397,No Straight Roads,"August 25, 2020",PlayStation 4,70,/game/playstation-4/no-straight-roads,6.7
5398,Radical Rabbit Stew,"July 16, 2020",PlayStation 4,70,/game/playstation-4/radical-rabbit-stew,6.8
5399,Namco Museum Archives Vol. 1,"June 18, 2020",Switch,70,/game/switch/namco-museum-archives-vol-1,tbd
5400,TT Isle of Man: Ride On The Edge 2,"March 19, 2020",PC,70,/game/pc/tt-isle-of-man-ride-on-the-edge-2,7.6
5401,Darkestville Castle,"August 13, 2020",Switch,70,/game/switch/darkestville-castle,tbd
5402,Destroy All Humans!,"July 28, 2020",PlayStation 4,70,/game/playstation-4/destroy-all-humans!,7.9
5403,Willy Morgan and the Curse of Bone Town,"August 11, 2020",PC,70,/game/pc/willy-morgan-and-the-curse-of-bone-town,6.5
5404,Warriors Orochi 4 Ultimate,"February 14, 2020",PlayStation 4,70,/game/playstation-4/warriors-orochi-4-ultimate,5.3
5405,Outbuddies DX,"June 5, 2020",Switch,70,/game/switch/outbuddies-dx,7.5
5406,140,"January 9, 2020",Switch,70,/game/switch/140,tbd
5407,Beyond A Steel Sky,"July 16, 2020",PC,70,/game/pc/beyond-a-steel-sky,7.1
5408,Biped,"April 8, 2020",PlayStation 4,70,/game/playstation-4/biped,7.8
5409,Coffee Talk,"January 30, 2020",PlayStation 4,70,/game/playstation-4/coffee-talk,5.6
5410,Fairy Tail,"July 15, 2020",PC,70,/game/pc/fairy-tail,5.0
5411,Project CARS 3,"August 3, 2020",Xbox One,70,/game/xbox-one/project-cars-3,3.4
5412,The Sims 4: Star Wars - Journey to Batuu,"September 8, 2020",PC,70,/game/pc/the-sims-4-star-wars---journey-to-batuu,1.4
5413,Monster Energy Supercross - The Official Videogame 3,"February 4, 2020",PlayStation 4,70,/game/playstation-4/monster-energy-supercross---the-official-videogame-3,6.0
5414,Star Wars Episode I: Racer,"June 23, 2020",Switch,69,/game/switch/star-wars-episode-i-racer,7.1
5415,Madden NFL 21,"August 25, 2020",Xbox One,69,/game/xbox-one/madden-nfl-21,0.4
5416,One Piece: Pirate Warriors 4,"March 27, 2020",Switch,69,/game/switch/one-piece-pirate-warriors-4,6.7
5417,Project CARS 3,"August 25, 2020",PlayStation 4,69,/game/playstation-4/project-cars-3,3.3
5418,Fallout 76: Wastelanders,"April 16, 2020",PC,69,/game/pc/fallout-76-wastelanders,6.2
5419,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,"June 23, 2020",PC,69,/game/pc/spongebob-squarepants-battle-for-bikini-bottom---rehydrated,8.8
5420,Darkestville Castle,"August 13, 2020",PlayStation 4,69,/game/playstation-4/darkestville-castle,tbd
5421,West of Dead,"June 18, 2020",PC,69,/game/pc/west-of-dead,6.0
5422,Twin Breaker: A Sacred Symbols Adventure,"March 24, 2020",PlayStation 4,69,/game/playstation-4/twin-breaker-a-sacred-symbols-adventure,7.3
5423,AO Tennis 2,"February 11, 2020",Xbox One,69,/game/xbox-one/ao-tennis-2,7.0
5424,Captain Tsubasa: Rise of New Champions,"August 28, 2020",PlayStation 4,69,/game/playstation-4/captain-tsubasa-rise-of-new-champions,7.4
5425,Edna & Harvey: The Breakout - 10th Anniversary Edition,"June 17, 2020",PlayStation 4,69,/game/playstation-4/edna-harvey-the-breakout---10th-anniversary-edition,tbd
5426,Exit the Gungeon,"March 17, 2020",Switch,69,/game/switch/exit-the-gungeon,6.7
5427,Pokemon Sword / Shield: The Isle of Armor,"June 17, 2020",Switch,69,/game/switch/pokemon-sword-shield-the-isle-of-armor,5.6
5428,Kill It With Fire,"August 13, 2020",PC,69,/game/pc/kill-it-with-fire,tbd
5429,Psikyo Shooting Stars Alpha,"January 21, 2020",Switch,69,/game/switch/psikyo-shooting-stars-alpha,6.4
5430,AO Tennis 2,"February 11, 2020",PlayStation 4,69,/game/playstation-4/ao-tennis-2,7.0
5431,SIMULACRA 2,"January 30, 2020",PC,69,/game/pc/simulacra-2,7.8
5432,NBA 2K21,"September 4, 2020",PlayStation 4,69,/game/playstation-4/nba-2k21,1.0
5433,Samurai Jack: Battle Through Time,"August 21, 2020",Switch,69,/game/switch/samurai-jack-battle-through-time,7.9
5434,Evergate,"August 18, 2020",Switch,69,/game/switch/evergate,7.8
5435,NASCAR Heat 5,"July 7, 2020",Xbox One,69,/game/xbox-one/nascar-heat-5,tbd
5436,Fairy Tail,"July 31, 2020",Switch,69,/game/switch/fairy-tail,6.6
5437,Romance of the Three Kingdoms XIV,"February 28, 2020",PlayStation 4,69,/game/playstation-4/romance-of-the-three-kingdoms-xiv,6.3
5438,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,"June 23, 2020",PlayStation 4,68,/game/playstation-4/spongebob-squarepants-battle-for-bikini-bottom---rehydrated,8.9
5439,Maneater,"May 22, 2020",PlayStation 4,68,/game/playstation-4/maneater,7.5
5440,Hellpoint,"July 30, 2020",Xbox One,68,/game/xbox-one/hellpoint,4.1
5441,Ninjala,"June 24, 2020",Switch,68,/game/switch/ninjala,6.7
5442,Pokemon Mystery Dungeon: Rescue Team DX,"March 6, 2020",Switch,68,/game/switch/pokemon-mystery-dungeon-rescue-team-dx,8.2
5443,Hyper Scape,"August 11, 2020",PC,68,/game/pc/hyper-scape,5.2
5444,The Shattering,"April 21, 2020",PC,68,/game/pc/the-shattering,7.0
5445,Maid of Sker,"July 28, 2020",PC,68,/game/pc/maid-of-sker,7.0
5446,Destroy All Humans!,"July 28, 2020",Xbox One,68,/game/xbox-one/destroy-all-humans!,8.4
5447,My Hero One's Justice 2,"March 13, 2020",PlayStation 4,68,/game/playstation-4/my-hero-ones-justice-2,4.5
5448,Raji: An Ancient Epic,"August 18, 2020",Switch,68,/game/switch/raji-an-ancient-epic,8.2
5449,Curious Expedition,"April 2, 2020",Switch,68,/game/switch/curious-expedition,tbd
5450,GORN,"May 19, 2020",PlayStation 4,68,/game/playstation-4/gorn,4.6
5451,Star Wars Jedi Knight: Jedi Academy,"March 26, 2020",Switch,68,/game/switch/star-wars-jedi-knight-jedi-academy,5.1
5452,Snack World: The Dungeon Crawl Gold,"February 14, 2020",Switch,68,/game/switch/snack-world-the-dungeon-crawl-gold,7.4
5453,Golf With Your Friends,"May 19, 2020",Xbox One,68,/game/xbox-one/golf-with-your-friends,4.6
5454,The Blind Prophet,"February 5, 2020",PC,68,/game/pc/the-blind-prophet,7.2
5455,Darius Cozmic Collection: Console,"June 16, 2020",PlayStation 4,68,/game/playstation-4/darius-cozmic-collection-console,tbd
5456,Rocket Arena,"July 14, 2020",PlayStation 4,68,/game/playstation-4/rocket-arena,4.3
5457,Red Wings: Aces of the Sky,"May 21, 2020",Switch,68,/game/switch/red-wings-aces-of-the-sky,7.6
5458,Project CARS 3,"August 28, 2020",PC,68,/game/pc/project-cars-3,3.3
5459,Daymare: 1998,"April 28, 2020",Xbox One,68,/game/xbox-one/daymare-1998,7.4
5460,Exit the Gungeon,"March 17, 2020",PC,68,/game/pc/exit-the-gungeon,7.1
5461,Fledgling Heroes,"May 7, 2020",Switch,68,/game/switch/fledgling-heroes,tbd
5462,Marvel's Avengers,"September 1, 2020",PlayStation 4,68,/game/playstation-4/marvels-avengers,5.2
5463,Ageless,"July 28, 2020",Switch,68,/game/switch/ageless,tbd
5464,The Complex,"March 31, 2020",Xbox One,68,/game/xbox-one/the-complex,6.8
5465,Speaking Simulator,"January 30, 2020",Switch,68,/game/switch/speaking-simulator,tbd
5466,Namco Museum Archives Vol. 2,"June 18, 2020",Switch,67,/game/switch/namco-museum-archives-vol-2,tbd
5467,Katana Kami: A Way of the Samurai Story,"February 20, 2020",PlayStation 4,67,/game/playstation-4/katana-kami-a-way-of-the-samurai-story,7.2
5468,Stela,"March 13, 2020",PC,67,/game/pc/stela,5.7
5469,The Almost Gone,"June 25, 2020",PC,67,/game/pc/the-almost-gone,tbd
5470,Giraffe and Annika,"February 17, 2020",PC,67,/game/pc/giraffe-and-annika,7.8
5471,NBA 2K21,"September 4, 2020",Xbox One,67,/game/xbox-one/nba-2k21,2.4
5472,Marvel's Avengers,"September 1, 2020",Xbox One,67,/game/xbox-one/marvels-avengers,4.0
5473,"Warhammer 40,000: Mechanicus","July 17, 2020",PlayStation 4,67,/game/playstation-4/warhammer-40000-mechanicus,6.5
5474,Ministry of Broadcast,"January 30, 2020",PC,67,/game/pc/ministry-of-broadcast,7.4
5475,Help Will Come Tomorrow,"April 21, 2020",PC,67,/game/pc/help-will-come-tomorrow,7.1
5476,Milky Way Prince: The Vampire Star,"August 13, 2020",PC,67,/game/pc/milky-way-prince-the-vampire-star,tbd
